OT,overtime,schedule_day
MRI,35.0,7
MRI,3.0,11
10,205.0,14
MRI,318.0,15
MRI,198.0,18
3,331.0,18
4,103.0,23
8,472.0,21
MRI,422.0,25
MRI,256.0,1
MRI,207.0,4
MRI,3.0,7
MRI,159.0,8
MRI,320.0,11
4,26.0,11
9,2.0,14
7,45.0,15
MRI,126.0,15
8,207.0,14
MRI,100.0,18
7,201.0,18
MRI,28.0,21
5,236.0,21
MRI,235.0,22
9,110.0,23
8,506.0,21
MRI,62.0,25
MRI,240.0,1
3,474.0,4
MRI,254.0,8
5,22.0,9
4,181.0,10
MRI,139.0,15
8,71.0,14
7,15.0,18
MRI,51.0,21
MRI,207.0,1
3,54.0,2
8,369.0,0
MRI,0.0,4
7,129.0,4
MRI,94.0,7
MRI,43.0,11
5,15.0,14
9,20.0,14
7,70.0,15
MRI,135.0,15
9,47.0,16
MRI,50.0,18
MRI,60.0,21
MRI,16.0,22
MRI,9.0,25
9,64.0,0
MRI,64.0,1
MRI,28.0,4
MRI,287.0,7
10,12.0,14
MRI,46.0,21
10,69.0,21
7,244.0,25
7,55.0,0
9,165.0,0
MRI,72.0,1
8,406.0,2
MRI,17.0,4
7,124.0,4
6,304.0,4
MRI,354.0,18
5,241.0,18
MRI,148.0,21
5,6.0,23
8,172.0,21
MRI,67.0,25
MRI,43.0,7
4,251.0,11
10,207.0,14
9,301.0,14
7,253.0,15
8,327.0,14
9,46.0,16
4,211.0,17
7,384.0,18
MRI,389.0,18
2,354.0,22
8,137.0,21
MRI,230.0,25
10,23.0,0
MRI,110.0,1
8,427.0,0
5,340.0,4
7,22.0,9
10,46.0,11
8,186.0,15
MRI,136.0,21
9,302.0,23
MRI,43.0,25
MRI,257.0,1
3,241.0,4
7,257.0,15
8,192.0,14
4,128.0,17
8,32.0,21
7,71.0,23
2,202.0,22
MRI,37.0,25
9,68.0,0
MRI,262.0,1
MRI,162.0,15
9,145.0,16
8,330.0,14
4,318.0,17
MRI,174.0,18
3,42.0,18
MRI,145.0,21
MRI,145.0,22
5,155.0,22
9,439.0,23
MRI,195.0,7
MRI,139.0,8
8,33.0,7
10,44.0,11
MRI,146.0,11
4,397.0,11
MRI,236.0,21
9,24.0,23
MRI,75.0,25
9,183.0,0
MRI,80.0,1
MRI,144.0,11
3,282.0,18
2,327.0,22
MRI,24.0,25
10,46.0,1
7,73.0,2
MRI,98.0,4
6,391.0,4
7,164.0,8
9,476.0,14
8,442.0,14
5,35.0,18
3,146.0,18
MRI,10.0,21
9,35.0,23
8,471.0,21
MRI,115.0,25
4,122.0,25
MRI,247.0,1
MRI,142.0,4
MRI,237.0,7
MRI,148.0,8
7,90.0,9
9,155.0,14
7,39.0,15
MRI,216.0,15
MRI,192.0,18
MRI,326.0,21
5,15.0,24
4,35.0,25
MRI,277.0,25
