schedule_day,simulation_day,ICK2_3_capacity,ICK2_3_claimed_quantity,ICK1_4_capacity,ICK1_4_claimed_quantity,KCZ_capacity,KCZ_claimed_quantity,KTC_capacity,KTC_claimed_quantity,MCKG_capacity,MCKG_claimed_quantity,SK4SP4_capacity,SK4SP4_claimed_quantity,KCN_capacity,KCN_claimed_quantity,Daycare_capacity,Daycare_claimed_quantity
4,4,5,0,5,0,11,8,5,3,4,2,4,3,9,1,0,0
4,4,5,0,5,0,10,8,5,3,4,1,4,3,9,1,0,0
4,4,5,0,5,0,10,8,5,3,4,1,4,3,9,1,0,0
5,5,5,0,4,0,9,8,4,3,3,1,3,3,9,1,0,0
5,5,5,0,4,0,9,8,4,3,3,1,3,3,9,1,0,0
5,5,5,0,4,0,9,8,4,3,3,1,3,3,9,1,0,0
5,5,5,0,4,0,9,8,4,3,3,1,3,3,9,1,0,0
5,5,5,0,4,0,9,8,4,3,3,1,3,3,9,1,0,0
5,5,5,0,4,0,9,8,4,3,3,1,3,3,9,1,0,0
5,5,5,0,4,0,10,8,4,3,3,1,4,3,12,1,0,0
5,5,5,0,4,0,10,6,4,3,3,1,4,3,12,1,0,0
5,5,5,0,4,0,10,6,4,3,3,1,4,3,12,1,0,0
5,5,5,0,4,0,10,6,4,3,3,1,4,3,12,1,0,0
5,5,5,0,4,0,10,6,4,3,3,1,4,3,12,1,0,0
5,5,5,0,4,0,10,6,4,3,3,1,4,3,12,1,0,0
5,5,5,0,4,0,10,6,4,3,3,1,4,3,12,1,0,0
5,5,5,0,4,0,10,6,4,3,3,1,4,3,12,1,0,0
5,5,5,0,4,0,10,6,4,3,3,1,4,3,12,1,0,0
5,5,5,0,4,0,9,6,4,3,3,0,3,3,9,1,0,0
5,5,5,0,4,0,9,6,4,2,3,0,3,3,9,1,0,0
5,5,5,0,4,0,9,6,4,2,3,0,3,3,9,1,0,0
5,5,5,0,4,0,9,6,4,2,3,0,3,3,9,1,0,0
5,5,5,0,4,0,9,6,4,2,3,0,3,3,9,1,0,0
5,5,5,0,4,0,9,6,4,2,3,0,3,3,9,1,0,0
5,5,5,0,4,0,9,6,4,2,3,0,3,3,9,1,0,0
5,5,5,0,4,0,9,6,4,2,3,0,3,3,9,1,0,0
5,5,5,0,4,0,9,6,4,2,3,0,3,3,9,1,0,0
6,6,5,0,4,0,9,6,4,2,3,0,3,3,5,1,0,0
6,6,5,0,4,0,9,6,4,2,3,0,3,3,5,1,0,0
6,6,5,0,4,0,9,6,4,2,3,0,3,3,5,1,0,0
6,6,5,0,4,0,9,6,4,2,3,0,3,3,5,1,0,0
6,6,5,0,4,0,9,6,4,2,3,0,3,3,5,1,0,0
6,6,5,0,4,0,9,6,4,2,3,0,3,3,5,1,0,0
6,6,5,0,4,0,10,6,4,2,3,0,4,3,5,1,0,0
6,6,5,0,4,0,10,3,4,1,3,0,4,3,6,1,0,0
6,6,5,0,4,0,10,3,4,1,3,0,4,3,6,1,0,0
