Group,Distribution,Chi_Squared_Stat,Chi_Squared_p,KS_Stat,KS_p,Params
14,weibull,94.55411758956829,0.0,0.07253049314664561,0.0024024023684339727,"(2.2177571074007596, 8.26944678753177, 43.10835811894631)"
14,normal,275.76862994951443,0.0,0.09262791905546697,3.482686603293786e-05,"(46.496845425867505, 17.967482619694962)"
14,lognorm,44.65581057901726,5.478135300940323e-08,0.04913703288177962,0.09055380710472061,"(0.2583226077935659, -20.77078459503592, 65.04452988907822)"
14,loglogistic,22.691833599183106,0.0009065413705552361,0.03343497988705102,0.4677410244585407,"(6.563852306304939, -16.688999462542032, 60.84177016780228)"
14,pearson3,53.83588148629036,7.961236114795156e-10,0.053892722900909074,0.04847435765390029,"(0.7027471076335299, 46.496841008466404, 17.600139883334336)"
15,gamma,19.14386778315113,0.003927437533584821,0.031987305774203834,0.19606353632195483,"(6.961387756455778, 14.324760716506972, 7.304140629707989)"
15,weibull,88.75571850537796,0.0,0.05972768942213047,0.0006292376749233196,"(2.3878255053641926, 20.61129671109444, 50.286911256151654)"
15,normal,281.1136548695677,0.0,0.07616962159914198,4.059407274162439e-06,"(65.17170818505338, 19.623227311199724)"
15,lognorm,10.946803543916296,0.0900345131163709,0.02434403003531982,0.5102567826081641,"(0.29229032498962054, -0.09435239879899614, 62.52687494194069)"
15,loglogistic,16.329239340258162,0.012091769515579665,0.029973022875962096,0.2596035698291709,"(6.039605047652346, -0.1473954413694949, 62.437139999902065)"
15,pearson3,19.14259669737075,0.003929466081892485,0.03198856529921612,0.19602795111002036,"(0.7580327441304596, 65.1717753627129, 19.271685358291947)"
16,gamma,16.297820946425617,0.012241642807070297,0.028457967562561137,0.8133359545333813,"(4.799736534290247, 20.159281161744044, 18.897157733736762)"
16,weibull,28.250599804004743,8.428152864858873e-05,0.03838401605111785,0.4571960324269101,"(1.9728793633119763, 32.51773551637595, 88.40813388071885)"
16,normal,177.42676663704498,0.0,0.07042547066149313,0.015029842097035116,"(110.86065573770492, 41.55286294880461)"
