OT,overtime,schedule_day
MRI,156.0,11
4,139.0,11
8,94.0,16
MRI,94.0,22
8,258.0,23
MRI,179.0,25
MRI,31.0,1
MRI,210.0,4
3,404.0,4
4,406.0,2
MRI,238.0,7
MRI,285.0,8
9,154.0,9
MRI,28.0,11
4,410.0,11
3,8.0,14
MRI,361.0,18
3,407.0,25
MRI,93.0,1
MRI,48.0,4
MRI,286.0,7
7,314.0,8
MRI,93.0,11
8,218.0,11
3,54.0,15
MRI,142.0,18
MRI,155.0,21
MRI,474.0,22
7,19.0,23
MRI,132.0,1
4,126.0,2
MRI,152.0,4
MRI,169.0,7
9,327.0,9
8,4.0,11
8,166.0,16
MRI,223.0,18
MRI,31.0,21
8,24.0,23
3,10.0,8
MRI,169.0,11
8,156.0,16
MRI,90.0,18
MRI,128.0,22
MRI,172.0,25
MRI,306.0,1
MRI,88.0,4
MRI,404.0,7
7,500.0,8
3,426.0,14
8,311.0,16
MRI,191.0,18
MRI,171.0,21
1,93.0,1
MRI,101.0,1
6,76.0,4
MRI,221.0,4
3,476.0,4
MRI,232.0,7
MRI,20.0,11
9,38.0,16
MRI,81.0,18
MRI,81.0,25
MRI,225.0,1
8,221.0,2
MRI,63.0,4
MRI,392.0,7
9,177.0,9
8,492.0,9
3,74.0,14
3,107.0,18
MRI,222.0,25
MRI,301.0,4
3,396.0,4
8,253.0,7
MRI,48.0,11
8,382.0,11
4,215.0,11
3,117.0,14
4,37.0,16
MRI,136.0,18
MRI,189.0,21
MRI,219.0,22
3,243.0,25
8,9.0,0
10,395.0,2
4,91.0,2
MRI,50.0,4
3,242.0,4
MRI,475.0,7
MRI,231.0,11
3,201.0,14
MRI,91.0,15
MRI,193.0,21
9,359.0,21
4,413.0,24
MRI,85.0,25
MRI,219.0,1
MRI,254.0,4
MRI,248.0,7
6,1.0,9
4,211.0,11
MRI,95.0,15
5,346.0,15
7,36.0,16
MRI,172.0,21
MRI,8.0,22
4,44.0,25
MRI,254.0,25
MRI,87.0,1
MRI,122.0,4
3,386.0,4
8,85.0,16
MRI,212.0,18
MRI,112.0,21
9,340.0,23
MRI,270.0,1
MRI,49.0,4
MRI,6.0,7
9,508.0,9
5,32.0,10
MRI,321.0,11
4,499.0,11
3,85.0,14
8,20.0,16
5,341.0,16
MRI,463.0,21
9,23.0,23
4,143.0,24
MRI,159.0,1
7,68.0,8
MRI,73.0,8
MRI,463.0,11
4,75.0,11
3,169.0,14
MRI,109.0,18
10,20.0,21
2,133.0,22
9,164.0,23
3,48.0,25
7,104.0,0
MRI,22.0,1
8,328.0,2
MRI,6.0,7
3,173.0,14
5,309.0,15
MRI,33.0,21
8,25.0,21
MRI,66.0,1
MRI,190.0,7
9,68.0,9
MRI,1.0,11
4,73.0,11
MRI,32.0,15
MRI,206.0,18
MRI,128.0,21
MRI,155.0,22
MRI,208.0,25
MRI,103.0,1
3,401.0,4
MRI,11.0,7
MRI,49.0,8
3,54.0,8
4,18.0,11
1,4.0,14
3,99.0,14
MRI,250.0,18
