OT,overtime,schedule_day
MRI,47.0,22
9,361.0,23
MRI,25.0,25
MRI,140.0,1
5,93.0,2
MRI,48.0,4
3,217.0,4
MRI,65.0,8
8,428.0,7
4,134.0,10
MRI,137.0,11
8,235.0,11
4,498.0,11
10,33.0,14
5,68.0,14
7,126.0,14
7,498.0,15
4,13.0,17
MRI,218.0,18
3,199.0,18
4,372.0,24
10,92.0,23
MRI,75.0,1
MRI,311.0,4
MRI,129.0,7
MRI,202.0,8
7,28.0,9
4,266.0,10
MRI,68.0,11
MRI,260.0,15
4,66.0,17
MRI,23.0,18
MRI,112.0,21
4,49.0,23
MRI,147.0,25
MRI,158.0,1
5,394.0,4
MRI,54.0,7
MRI,262.0,8
4,469.0,10
10,41.0,11
MRI,151.0,11
4,73.0,11
10,246.0,14
7,105.0,15
MRI,115.0,15
9,171.0,16
MRI,58.0,18
5,95.0,18
8,208.0,14
3,383.0,18
MRI,237.0,21
MRI,228.0,22
7,52.0,23
9,65.0,23
4,38.0,25
MRI,69.0,25
10,29.0,0
6,84.0,0
MRI,64.0,1
4,1.0,3
8,418.0,0
7,149.0,15
MRI,193.0,15
MRI,268.0,18
3,383.0,18
MRI,78.0,21
MRI,143.0,22
5,252.0,22
9,281.0,23
5,474.0,23
MRI,43.0,25
9,148.0,0
MRI,79.0,1
6,307.0,4
MRI,163.0,7
MRI,92.0,8
8,2.0,7
MRI,49.0,11
9,83.0,14
MRI,231.0,15
9,18.0,16
8,367.0,14
5,100.0,16
MRI,51.0,18
3,335.0,18
MRI,52.0,21
MRI,116.0,22
8,192.0,21
MRI,22.0,1
MRI,160.0,4
MRI,404.0,7
3,22.0,8
8,245.0,7
MRI,255.0,8
MRI,76.0,11
4,19.0,11
9,103.0,14
MRI,149.0,15
8,179.0,14
MRI,255.0,18
MRI,205.0,21
8,428.0,21
MRI,42.0,25
8,473.0,25
MRI,215.0,1
7,34.0,2
6,292.0,4
MRI,376.0,4
5,472.0,4
3,232.0,4
MRI,105.0,7
MRI,196.0,8
MRI,226.0,11
MRI,55.0,15
8,235.0,14
7,104.0,18
MRI,243.0,18
3,71.0,18
MRI,128.0,21
9,41.0,23
10,177.0,23
MRI,55.0,25
7,99.0,2
4,20.0,3
10,362.0,3
MRI,324.0,4
MRI,343.0,7
MRI,17.0,8
3,35.0,8
MRI,108.0,11
5,43.0,14
MRI,234.0,15
MRI,62.0,18
3,468.0,18
MRI,127.0,21
MRI,4.0,22
4,42.0,25
MRI,124.0,25
7,500.0,0
MRI,49.0,1
4,185.0,2
4,165.0,3
10,84.0,7
MRI,183.0,7
3,49.0,8
