OT,surgery_duration,schedule_day,simulation_day
2,58,14,98
9,1563,16,100
7,105,17,101
1,125,14,98
3,85,14,98
5,1496,16,100
5,1160,17,101
MRI,40,18,102
MRI,40,18,102
MRI,23,18,102
MRI,50,18,102
MRI,48,18,102
3,115,18,102
7,246,18,102
3,53,18,102
1,604,18,102
1,93,16,100
MRI,54,15,99
2,69,17,101
4,946,18,102
3,80,18,102
8,117,16,100
10,193,14,98
8,364,14,98
1,101,17,101
2,49,21,105
MRI,62,21,105
MRI,55,21,105
MRI,64,21,105
6,602,21,105
MRI,60,21,105
5,894,21,105
5,805,7,91
MRI,108,22,106
3,403,22,106
5,104,22,106
2,239,22,106
5,127,22,106
4,37,22,106
5,183,22,106
3,9,22,106
4,56,22,106
MRI,46,22,106
5,106,22,106
1,50,21,105
3,163,21,105
7,84,22,106
5,812,23,107
5,77,21,105
7,1187,23,107
7,54,16,100
1,38,24,108
7,1151,24,108
5,639,24,108
1,69,23,107
3,511,25,109
4,668,25,109
1,88,22,106
7,54,25,109
3,213,10,66
4,112,24,108
8,371,21,105
9,1017,21,105
MRI,168,21,105
2,59,0,112
9,113,0,112
6,562,0,112
5,687,0,112
1,59,0,112
MRI,40,1,113
7,81,1,113
MRI,66,1,113
2,158,1,113
7,568,0,112
MRI,57,1,113
9,81,23,107
9,111,0,112
2,388,1,113
9,19,21,105
1,47,1,113
4,206,2,114
3,86,25,109
3,75,2,114
5,1138,2,114
9,62,2,114
9,1039,2,114
7,409,2,114
9,1090,23,107
5,2149,3,115
7,916,4,116
MRI,61,4,116
1,99,3,115
9,40,2,114
4,1380,4,116
2,59,24,108
MRI,27,4,116
1,66,4,116
3,161,7,91
1,73,2,114
6,632,7,119
MRI,38,7,119
1,46,7,119
MRI,48,7,119
MRI,51,7,119
9,1203,7,119
MRI,14,8,120
MRI,44,8,120
2,76,7,119
2,36,3,115
5,267,8,120
5,68,9,121
5,172,8,120
7,33,9,121
6,221,9,121
6,393,9,121
9,710,9,121
8,90,9,121
