schedule_day,simulation_day,ICK2_3_capacity,ICK2_3_claimed_quantity,ICK1_4_capacity,ICK1_4_claimed_quantity,KCZ_capacity,KCZ_claimed_quantity,KTC_capacity,KTC_claimed_quantity,MCKG_capacity,MCKG_claimed_quantity,SK4SP4_capacity,SK4SP4_claimed_quantity,KCN_capacity,KCN_claimed_quantity,Daycare_capacity,Daycare_claimed_quantity
6,6,40,0,35,0,80,5,30,4,25,2,22,2,45,3,0,0
6,6,40,0,35,0,80,5,30,4,25,2,22,2,45,3,0,0
6,6,40,0,35,0,85,5,30,4,25,2,33,2,45,3,0,0
6,6,40,0,35,0,85,4,30,4,25,1,33,2,50,3,0,0
6,6,40,0,35,0,85,4,30,4,25,1,33,2,50,3,0,0
6,6,40,0,35,0,85,4,30,4,25,1,33,1,50,3,0,0
6,6,40,0,35,0,85,4,30,3,25,1,33,1,50,3,0,0
6,6,40,0,35,0,85,3,30,3,25,1,33,1,50,3,0,0
6,6,40,0,35,0,85,3,30,3,25,1,33,1,50,3,0,0
6,6,40,0,35,0,85,3,30,3,25,1,33,1,50,3,0,0
6,6,40,0,35,0,85,3,30,3,25,1,33,1,50,3,0,0
6,6,40,0,35,0,80,3,30,3,25,1,22,1,45,3,0,0
6,6,40,0,35,0,80,3,30,3,25,1,22,1,45,3,0,0
6,6,40,0,35,0,80,3,30,3,25,1,22,1,45,3,0,0
6,6,40,0,35,0,80,3,30,3,25,1,22,1,45,3,0,0
6,6,40,0,35,0,80,3,30,3,25,1,22,1,45,3,0,0
6,6,40,0,35,0,80,3,30,3,25,1,22,1,45,3,0,0
6,6,40,0,35,0,80,3,30,2,25,1,22,1,45,3,0,0
6,6,40,0,35,0,80,3,30,2,25,1,22,1,45,3,0,0
6,6,40,0,35,0,80,3,30,2,25,1,22,1,45,3,0,0
7,7,40,0,45,0,90,3,40,2,30,1,34,1,75,3,0,0
7,7,40,0,45,0,90,3,40,2,30,1,34,1,75,3,0,0
7,7,40,0,45,0,90,3,40,2,30,1,34,1,75,3,0,0
7,7,40,0,45,0,90,3,40,2,30,1,34,1,75,3,0,0
7,7,40,0,45,0,90,3,40,2,30,1,34,1,75,3,0,0
7,7,40,0,45,0,90,3,40,2,30,1,34,1,75,3,0,0
7,7,40,0,45,0,95,3,45,2,35,1,34,1,85,3,80,0
7,7,40,0,45,0,100,6,45,4,35,1,40,1,85,4,80,1
7,7,40,0,45,0,100,6,45,4,35,2,40,1,85,5,80,1
7,7,40,0,45,0,100,6,45,5,35,3,40,1,85,6,90,1
7,7,40,0,45,0,100,7,45,5,35,4,40,1,85,6,90,1
7,7,40,0,45,0,100,7,45,4,35,4,40,1,85,7,90,1
7,7,40,0,45,0,100,7,45,4,35,5,40,1,85,7,90,1
7,7,40,0,45,0,100,6,45,3,35,5,40,1,85,8,50,1
7,7,40,0,45,0,100,6,45,3,35,5,40,1,85,8,50,1
7,7,40,0,45,0,100,6,45,3,35,4,40,1,80,8,50,1
7,7,40,0,45,0,95,6,45,3,35,3,34,1,80,8,50,1
7,7,40,0,45,0,95,6,45,3,35,3,34,1,80,7,0,0
7,7,40,0,45,0,95,6,45,3,35,3,34,1,80,7,0,0
7,7,40,0,45,0,95,6,45,3,35,3,34,1,80,7,0,0
7,7,40,0,45,0,95,6,45,3,35,3,34,1,80,7,0,0
7,7,40,0,45,0,95,6,45,3,35,3,34,1,80,7,0,0
7,7,40,0,45,0,90,6,40,3,30,3,34,1,80,7,0,0
7,7,40,0,45,0,90,6,40,3,30,3,34,1,75,7,0,0
8,8,40,0,45,0,90,6,40,3,30,3,34,1,45,7,0,0
8,8,40,0,45,0,90,6,40,3,30,3,34,1,45,7,0,0
8,8,40,0,45,0,90,6,40,3,30,3,34,1,45,7,0,0
8,8,40,0,45,0,90,6,40,3,30,3,34,1,45,7,0,0
8,8,40,0,45,0,90,6,40,3,30,3,34,1,45,7,0,0
8,8,40,0,45,0,90,6,40,3,30,3,34,1,45,7,0,0
8,8,40,0,45,0,95,6,45,3,35,3,34,1,45,7,80,0
8,8,40,0,45,0,100,7,45,2,35,4,40,2,50,7,80,2
8,8,40,0,45,0,100,7,45,2,35,6,40,2,50,7,80,3
8,8,40,0,45,0,100,8,45,2,35,7,40,2,50,8,90,3
